FECHA;CATEGORÍA;CLIENTE;TRATAMIENTO;ESTETICISTA;PRECIO;DESCUENTO; TOTAL COBRADO 
1 03 2019;Facial;C-17;Hieloterapia;Rosa; S/195.00 ; S/15.60 ; S/179.40 
1 03 2019;Facial;A-17;Limpieza Profunda;Rosa; S/218.00 ; S/13.08 ; S/204.92 
1 03 2019;Facial;B-18;Antiedad;Rafaella; S/228.00 ; S/22.80 ; S/205.20 
1 03 2019;Facial;A-12;Exfoliación;María; S/181.00 ; S/1.81 ; S/179.19 
1 03 2019;Facial;D-14;Hidratante;Rosa; S/193.00 ; S/9.65 ; S/183.35 
1 03 2019;Corporal;C-11;Ritual Azul Turquesa;Ana; S/194.00 ; S/15.52 ; S/178.48 
1 03 2019;Corporal;C-15;Chocoterapia;Ana; S/184.00 ; S/3.68 ; S/180.32 
1 03 2019;Facial;A-11;Linea Colageno y Elastina;Ana; S/145.00 ; S/8.70 ; S/136.30 
1 03 2019;Corporal;B-20;Relajante (No Recuerda Bien El Nombre);María; S/170.00 ; S/11.90 ; S/158.10 
1 03 2019;Facial;B-12;Lifting de Piel Madura;Rafaella; S/212.00 ; S/6.36 ; S/205.64 
1 03 2019;Corporal;B-20;Fango;María; S/111.00 ;; S/111.00 
1 03 2019;Corporal;B-19;Heavenly Body;Rafaella; S/192.00 ; S/5.76 ; S/186.24 
1 03 2019;Corporal;B-18;Cacahua;Ana; S/168.00 ; S/15.12 ; S/152.88 
1 03 2019;Facial;C-14;Vaporizacion;Rosa; S/151.00 ; S/15.10 ; S/135.90 
1 03 2019;Corporal;C-19;Envolvente Desintoxicante;Rafaella; S/198.00 ; S/9.90 ; S/188.10 
1 03 2019;Facial;B-15;Accua Morin;Rosa; S/149.00 ; S/14.90 ; S/134.10 
1 03 2019;Corporal;B-16;Heavenly Body;Rosa; S/192.00 ; S/11.52 ; S/180.48 
1 03 2019;Facial;B-14;Europeo;Rosa; S/199.00 ; S/9.95 ; S/189.05 
1 03 2019;Facial;A-18;Basico;Camila; S/137.00 ; S/10.96 ; S/126.04 
1 03 2019;Facial;C-12;Antiedad;Rosa; S/228.00 ; S/9.12 ; S/218.88 
1 03 2019;Facial;A-18;Europeo;Camila; S/199.00 ; S/13.93 ; S/185.07 
1 03 2019;Facial;B-15;Limpieza Profunda;Rafaella; S/218.00 ;; S/218.00 
2 03 2019;Corporal;C-13;Envolvente Desintoxicante;María; S/198.00 ; S/1.98 ; S/196.02 
2 03 2019;Facial;C-11;Hieloterapia;Ana; S/195.00 ; S/3.90 ; S/191.10 
2 03 2019;Corporal;B-19;Ritual Azul Turquesa;María; S/194.00 ; S/3.88 ; S/190.12 
2 03 2019;Corporal;B-14;Heavenly Body;Camila; S/192.00 ; S/7.68 ; S/184.32 
2 03 2019;Corporal;B-16;Heavenly Body;Rafaella; S/192.00 ; S/19.20 ; S/172.80 
2 03 2019;Facial;C-19;Europeo;Rafaella; S/199.00 ; S/19.90 ; S/179.10 
2 03 2019;Facial;D-15;Equilibrante;María; S/112.00 ; S/4.48 ; S/107.52 
2 03 2019;Corporal;B-15;Ritual Azul Turquesa;Rafaella; S/194.00 ;; S/194.00 
2 03 2019;Corporal;B-17;De Algas Desintoxicantes;Camila; S/101.00 ; S/1.01 ; S/99.99 
2 03 2019;Corporal;B-10;Fango;Rafaella; S/111.00 ; S/9.99 ; S/101.01 
2 03 2019;Corporal;D-20;Cacahua;Rosa; S/168.00 ; S/15.12 ; S/152.88 
2 03 2019;Corporal;C-19;Relajante (No Recuerda Bien El Nombre);Rafaella; S/170.00 ; S/6.80 ; S/163.20 
2 03 2019;Corporal;A-20;De Algas Desintoxicantes;Rosa; S/101.00 ; S/3.03 ; S/97.97 
2 03 2019;Facial;C-10;Renewel;María; S/173.00 ; S/10.38 ; S/162.62 
2 03 2019;Facial;D-10;Tratamiento de Limpieza;María; S/220.00 ; S/8.80 ; S/211.20 
2 03 2019;Facial;C-12;Accua Morin;Rafaella; S/149.00 ; S/14.90 ; S/134.10 
2 03 2019;Facial;C-15;Daymond Frozend;Rafaella; S/146.00 ; S/5.84 ; S/140.16 
3 03 2019;Corporal;A-18;Envolvente Desintoxicante;Ana; S/198.00 ; S/9.90 ; S/188.10 
3 03 2019;Facial;C-17;Limpieza Profunda;Camila; S/218.00 ; S/13.08 ; S/204.92 
3 03 2019;Corporal;C-11;Chocoterapia;Rafaella; S/184.00 ; S/18.40 ; S/165.60 
3 03 2019;Corporal;B-11;De Algas Desintoxicantes;María; S/101.00 ; S/3.03 ; S/97.97 
3 03 2019;Corporal;C-20;Hipertermia;Rafaella; S/202.00 ; S/16.16 ; S/185.84 
3 03 2019;Facial;C-14;Microdermoabrasión;Camila; S/237.00 ; S/21.33 ; S/215.67 
3 03 2019;Corporal;C-17;Cacahua;María; S/168.00 ; S/1.68 ; S/166.32 
3 03 2019;Corporal;C-11;Envolvente Desintoxicante;Rosa; S/198.00 ;; S/198.00 
3 03 2019;Facial;A-16;Daymond Frozend;María; S/146.00 ; S/13.14 ; S/132.86 
3 03 2019;Facial;B-10;Limpieza Profunda;Rosa; S/218.00 ; S/17.44 ; S/200.56 
3 03 2019;Corporal;A-20;Heavenly Body;María; S/192.00 ; S/11.52 ; S/180.48 
3 03 2019;Corporal;C-19;Ritual Azul Turquesa;Camila; S/194.00 ; S/5.82 ; S/188.18 
3 03 2019;Facial;A-20;Europeo;María; S/199.00 ;; S/199.00 
3 03 2019;Facial;C-20;Equilibrante;María; S/112.00 ; S/11.20 ; S/100.80 
3 03 2019;Facial;A-13;Hieloterapia;María; S/195.00 ; S/15.60 ; S/179.40 
3 03 2019;Corporal;C-11;Modelaje;Rosa; S/199.00 ; S/17.91 ; S/181.09 
3 03 2019;Corporal;B-20;Fango Aromatico;Camila; S/128.00 ; S/1.28 ; S/126.72 
4 03 2019;Corporal;B-14;Heavenly Body;Camila; S/192.00 ; S/7.68 ; S/184.32 
4 03 2019;Corporal;A-12;Modelaje;Ana; S/199.00 ; S/19.90 ; S/179.10 
4 03 2019;Corporal;A-14;Envolvente Desintoxicante;Rafaella; S/198.00 ; S/3.96 ; S/194.04 
4 03 2019;Facial;B-17;Vaporizacion;María; S/151.00 ; S/6.04 ; S/144.96 
4 03 2019;Corporal;B-17;Fango Aromatico;Camila; S/128.00 ; S/7.68 ; S/120.32 
4 03 2019;Corporal;D-17;Hieloterapia;Camila; S/195.00 ; S/7.80 ; S/187.20 
4 03 2019;Facial;A-19;Tratamiento de Limpieza;Ana; S/220.00 ; S/17.60 ; S/202.40 
4 03 2019;Facial;C-17;Microdermoabrasión;Rosa; S/237.00 ;; S/237.00 
4 03 2019;Corporal;C-10;Reductivo;María; S/138.00 ; S/1.38 ; S/136.62 
4 03 2019;Facial;A-15;Daymond Frozend;Ana; S/146.00 ; S/11.68 ; S/134.32 
4 03 2019;Facial;B-17;Europeo;Camila; S/199.00 ;; S/199.00 
4 03 2019;Corporal;B-19;Velo De Novia (Exfoliacion Corporal);Ana; S/217.00 ; S/6.51 ; S/210.49 
4 03 2019;Corporal;C-11;Integral Reductivo;Rosa; S/191.00 ; S/11.46 ; S/179.54 
4 03 2019;Corporal;B-11;De Algas Desintoxicantes;María; S/101.00 ; S/3.03 ; S/97.97 
4 03 2019;Facial;D-13;Limpieza Profunda;María; S/218.00 ; S/4.36 ; S/213.64 
4 03 2019;Corporal;A-19;Heavenly Body;Rosa; S/192.00 ; S/19.20 ; S/172.80 
4 03 2019;Facial;C-11;Antiedad;Rosa; S/228.00 ; S/20.52 ; S/207.48 
5 03 2019;Corporal;C-20;Modelaje;Rafaella; S/199.00 ; S/9.95 ; S/189.05 
5 03 2019;Corporal;C-17;Ritual Esencial Del Mar;Rafaella; S/214.00 ; S/12.84 ; S/201.16 
5 03 2019;Corporal;A-16;Cacahua;Rafaella; S/168.00 ; S/15.12 ; S/152.88 
5 03 2019;Facial;A-17;Linea Colageno y Elastina;María; S/145.00 ;; S/145.00 
5 03 2019;Corporal;A-11;Exfoliante Energizante;Rafaella; S/202.00 ; S/4.04 ; S/197.96 
5 03 2019;Facial;B-20;Basico;Camila; S/137.00 ; S/4.11 ; S/132.89 
5 03 2019;Corporal;B-19;Ritual Azul Turquesa;María; S/194.00 ; S/3.88 ; S/190.12 
5 03 2019;Facial;D-13;Daymond Frozend;María; S/146.00 ; S/7.30 ; S/138.70 
5 03 2019;Facial;B-13;Antiedad;Ana; S/228.00 ; S/22.80 ; S/205.20 
5 03 2019;Facial;A-18;Basico;Camila; S/137.00 ; S/10.96 ; S/126.04 
5 03 2019;Facial;A-16;Linea Colageno y Elastina;Rosa; S/145.00 ; S/14.50 ; S/130.50 
5 03 2019;Facial;D-15;Basico;Camila; S/137.00 ; S/6.85 ; S/130.15 
5 03 2019;Facial;A-17;Europeo;Ana; S/199.00 ; S/13.93 ; S/185.07 
5 03 2019;Corporal;A-10;Envolvente Desintoxicante;Rosa; S/198.00 ; S/13.86 ; S/184.14 
5 03 2019;Corporal;D-14;Ritual Azul Turquesa;Camila; S/194.00 ; S/9.70 ; S/184.30 
5 03 2019;Facial;B-20;Vaporizacion;Rosa; S/151.00 ; S/15.10 ; S/135.90 
6 03 2019;Corporal;B-11;Chocoterapia;Ana; S/184.00 ;; S/184.00 
6 03 2019;Corporal;C-18;Envolvente Desintoxicante;Camila; S/198.00 ; S/19.80 ; S/178.20 
6 03 2019;Facial;D-11;Microdermoabrasión;María; S/237.00 ; S/14.22 ; S/222.78 
6 03 2019;Corporal;C-11;Modelaje;Rosa; S/199.00 ; S/17.91 ; S/181.09 
6 03 2019;Corporal;B-18;Cacahua;Ana; S/168.00 ; S/15.12 ; S/152.88 
6 03 2019;Facial;C-19;Yax;Rafaella; S/157.00 ; S/3.14 ; S/153.86 
6 03 2019;Facial;B-10;Antiedad;Rafaella; S/228.00 ; S/9.12 ; S/218.88 
6 03 2019;Corporal;A-18;Relajante (No Recuerda Bien El Nombre);Ana; S/170.00 ; S/13.60 ; S/156.40 
6 03 2019;Facial;B-17;Vaporizacion;María; S/151.00 ; S/6.04 ; S/144.96 
6 03 2019;Corporal;D-11;Hipertermia;Rosa; S/202.00 ; S/12.12 ; S/189.88 
6 03 2019;Corporal;D-16;Con Tequila;Camila; S/146.00 ; S/14.60 ; S/131.40 
6 03 2019;Facial;A-18;Europeo;Camila; S/199.00 ; S/13.93 ; S/185.07 
6 03 2019;Corporal;B-10;Modelaje;Ana; S/199.00 ; S/13.93 ; S/185.07 
6 03 2019;Facial;D-14;Hidratante;Rosa; S/193.00 ; S/9.65 ; S/183.35 
6 03 2019;Corporal;D-14;Cacahua;Rafaella; S/168.00 ;; S/168.00 
6 03 2019;Facial;D-20;Yax;María; S/157.00 ; S/1.57 ; S/155.43 
6 03 2019;Corporal;C-19;Velo De Novia (Exfoliacion Corporal);Ana; S/217.00 ; S/4.34 ; S/212.66 
6 03 2019;Facial;D-10;Europeo;Ana; S/199.00 ; S/15.92 ; S/183.08 
6 03 2019;Facial;B-11;Renewel;Ana; S/173.00 ;; S/173.00 
6 03 2019;Facial;D-13;Limpieza Profunda;María; S/218.00 ; S/4.36 ; S/213.64 
6 03 2019;Corporal;D-20;Fango;Ana; S/111.00 ; S/2.22 ; S/108.78 
6 03 2019;Corporal;C-18;Modelaje;María; S/199.00 ; S/13.93 ; S/185.07 
7 03 2019;Corporal;D-16;Envolvente Desintoxicante;Rosa; S/198.00 ; S/5.94 ; S/192.06 
7 03 2019;Corporal;C-15;Hieloterapia;Rosa; S/195.00 ; S/1.95 ; S/193.05 
7 03 2019;Corporal;D-12;Integral Reductivo;Camila; S/191.00 ; S/11.46 ; S/179.54 
7 03 2019;Facial;D-10;Limpieza Profunda;Camila; S/218.00 ; S/21.80 ; S/196.20 
7 03 2019;Corporal;A-14;Integral Reductivo;Ana; S/191.00 ; S/13.37 ; S/177.63 
7 03 2019;Corporal;A-19;Hieloterapia;María; S/195.00 ;; S/195.00 
7 03 2019;Facial;B-12;Limpieza Profunda;Rafaella; S/218.00 ; S/17.44 ; S/200.56 
7 03 2019;Corporal;A-15;Envolvente Desintoxicante;Camila; S/198.00 ; S/1.98 ; S/196.02 
7 03 2019;Facial;A-16;Linea Colageno y Elastina;Rosa; S/145.00 ; S/14.50 ; S/130.50 
7 03 2019;Facial;D-17;Lifting de Piel Madura;Ana; S/212.00 ; S/2.12 ; S/209.88 
7 03 2019;Corporal;B-16;Integral Reductivo;Rafaella; S/191.00 ; S/15.28 ; S/175.72 
7 03 2019;Facial;C-16;Renewel;Ana; S/173.00 ; S/10.38 ; S/162.62 
7 03 2019;Corporal;B-12;Envolvente Desintoxicante;Rosa; S/198.00 ; S/3.96 ; S/194.04 
7 03 2019;Corporal;B-18;Fango;Rosa; S/111.00 ; S/5.55 ; S/105.45 
7 03 2019;Facial;C-14;Lifting de Piel Madura;María; S/212.00 ; S/8.48 ; S/203.52 
7 03 2019;Corporal;D-13;Envolvente Desintoxicante;Rosa; S/198.00 ; S/13.86 ; S/184.14 
7 03 2019;Facial;C-19;Limpieza Profunda;Rosa; S/218.00 ; S/17.44 ; S/200.56 
7 03 2019;Corporal;B-11;De Algas Desintoxicantes;María; S/101.00 ; S/3.03 ; S/97.97 
7 03 2019;Corporal;B-18;Ritual Esencial Del Mar;María; S/214.00 ; S/8.56 ; S/205.44 
7 03 2019;Facial;C-11;Antiedad;Rosa; S/228.00 ; S/20.52 ; S/207.48 
7 03 2019;Facial;A-16;Daymond Frozend;María; S/146.00 ; S/13.14 ; S/132.86 
7 03 2019;Corporal;D-14;Relajante (No Recuerda Bien El Nombre);Rafaella; S/170.00 ; S/15.30 ; S/154.70 
7 03 2019;Facial;A-17;Hieloterapia;Camila; S/195.00 ; S/13.65 ; S/181.35 
7 03 2019;Facial;C-10;Renewel;María; S/173.00 ; S/10.38 ; S/162.62 
7 03 2019;Facial;C-19;Europeo;Rosa; S/199.00 ; S/7.96 ; S/191.04 
7 03 2019;Corporal;D-18;Exfoliante Energizante;Rafaella; S/202.00 ; S/8.08 ; S/193.92 
7 03 2019;Corporal;A-15;Hipertermia;Rafaella; S/202.00 ; S/10.10 ; S/191.90 
8 03 2019;Facial;A-13;Equilibrante;Rosa; S/112.00 ; S/3.36 ; S/108.64 
8 03 2019;Facial;D-18;Yax;María; S/157.00 ; S/3.14 ; S/153.86 
8 03 2019;Facial;D-13;Hieloterapia;Camila; S/195.00 ; S/11.70 ; S/183.30 
8 03 2019;Facial;C-11;Vaporizacion;María; S/151.00 ; S/3.02 ; S/147.98 
8 03 2019;Facial;C-16;Renewel;Ana; S/173.00 ; S/10.38 ; S/162.62 
8 03 2019;Facial;B-10;Linea Colageno y Elastina;Ana; S/145.00 ;; S/145.00 
8 03 2019;Facial;C-18;Daymond Frozend;Rafaella; S/146.00 ; S/1.46 ; S/144.54 
8 03 2019;Corporal;B-15;Velo De Novia (Exfoliacion Corporal);Rafaella; S/217.00 ; S/13.02 ; S/203.98 
8 03 2019;Facial;A-16;Accua Morin;María; S/149.00 ; S/7.45 ; S/141.55 
8 03 2019;Facial;C-18;Renewel;Rosa; S/173.00 ; S/12.11 ; S/160.89 
8 03 2019;Facial;A-18;Linea Colageno y Elastina;Camila; S/145.00 ; S/2.90 ; S/142.10 
8 03 2019;Facial;D-10;Tratamiento de Limpieza;Ana; S/220.00 ; S/2.20 ; S/217.80 
8 03 2019;Corporal;C-13;Envolvente Desintoxicante;María; S/198.00 ; S/1.98 ; S/196.02 
8 03 2019;Facial;A-15;Antiedad;Ana; S/228.00 ; S/20.52 ; S/207.48 
8 03 2019;Corporal;A-20;Heavenly Body;María; S/192.00 ; S/11.52 ; S/180.48 
8 03 2019;Facial;B-14;Basico;Camila; S/137.00 ; S/8.22 ; S/128.78 
8 03 2019;Facial;C-19;Tratamiento de Limpieza;Ana; S/220.00 ; S/11.00 ; S/209.00 
8 03 2019;Facial;B-20;Linea Colageno y Elastina;María; S/145.00 ;; S/145.00 
8 03 2019;Corporal;C-11;Integral Reductivo;Rosa; S/191.00 ; S/11.46 ; S/179.54 
8 03 2019;Corporal;B-18;Chocoterapia;María; S/184.00 ; S/11.04 ; S/172.96 
8 03 2019;Facial;D-11;Limpieza Profunda;Rafaella; S/218.00 ; S/15.26 ; S/202.74 
8 03 2019;Facial;D-17;Lifting de Piel Madura;Ana; S/212.00 ; S/2.12 ; S/209.88 
9 03 2019;Corporal;C-16;Exfoliante Energizante;Camila; S/202.00 ; S/12.12 ; S/189.88 
9 03 2019;Corporal;D-12;Modelaje;Ana; S/199.00 ; S/15.92 ; S/183.08 
9 03 2019;Facial;B-13;Hidratante;Rosa; S/193.00 ; S/1.93 ; S/191.07 
9 03 2019;Corporal;D-18;Envolvente Desintoxicante;Camila; S/198.00 ; S/17.82 ; S/180.18 
9 03 2019;Corporal;C-19;De Algas Desintoxicantes;Rosa; S/101.00 ;; S/101.00 
9 03 2019;Corporal;C-10;Reductivo;María; S/138.00 ; S/1.38 ; S/136.62 
9 03 2019;Corporal;D-18;Modelaje;Rosa; S/199.00 ; S/17.91 ; S/181.09 
9 03 2019;Facial;B-12;Europeo;María; S/199.00 ; S/1.99 ; S/197.01 
9 03 2019;Facial;D-16;Hidratante;Camila; S/193.00 ; S/9.65 ; S/183.35 
9 03 2019;Corporal;D-13;Chocoterapia;Camila; S/184.00 ; S/16.56 ; S/167.44 
9 03 2019;Corporal;D-10;Con Tequila;María; S/146.00 ; S/2.92 ; S/143.08 
9 03 2019;Facial;B-14;Basico;Camila; S/137.00 ; S/8.22 ; S/128.78 
9 03 2019;Facial;B-12;Europeo;María; S/199.00 ; S/1.99 ; S/197.01 
9 03 2019;Corporal;A-12;Fango;Rafaella; S/111.00 ; S/4.44 ; S/106.56 
9 03 2019;Corporal;D-10;Hieloterapia;Camila; S/195.00 ; S/9.75 ; S/185.25 
9 03 2019;Corporal;D-12;Con Tequila;Rafaella; S/146.00 ; S/10.22 ; S/135.78 
9 03 2019;Facial;A-12;Limpieza Profunda;Camila; S/218.00 ; S/19.62 ; S/198.38 
9 03 2019;Facial;C-17;Limpieza Profunda;Rafaella; S/218.00 ; S/4.36 ; S/213.64 
9 03 2019;Corporal;D-20;Exfoliante Energizante;Camila; S/202.00 ; S/4.04 ; S/197.96 
10 03 2019;Facial;D-15;Basico;Camila; S/137.00 ;; S/137.00 
10 03 2019;Corporal;A-15;Fango Aromatico;Rafaella; S/128.00 ; S/5.12 ; S/122.88 
10 03 2019;Facial;A-12;Daymond Frozend;Rosa; S/146.00 ; S/1.46 ; S/144.54 
10 03 2019;Facial;C-17;Yax;Ana; S/157.00 ;; S/157.00 
10 03 2019;Facial;A-18;Vaporizacion;Rosa; S/151.00 ; S/15.10 ; S/135.90 
