FECHA;CATEGORÍA;CLIENTE;TRATAMIENTO;ESTETICISTA;PRECIO;DESCUENTO; TOTAL COBRADO 
1 06 2019;Corporal;A-14;Heavenly Body;Rosa; S/192.00 ; S/17.28 ; S/174.72 
1 06 2019;Corporal;C-10;Reductivo;María; S/138.00 ; S/1.38 ; S/136.62 
1 06 2019;Corporal;C-16;Velo De Novia (Exfoliacion Corporal);Rafaella; S/217.00 ; S/21.70 ; S/195.30 
1 06 2019;Corporal;D-11;Exfoliante Energizante;María; S/202.00 ; S/16.16 ; S/185.84 
1 06 2019;Corporal;B-20;Hieloterapia;Ana; S/195.00 ; S/15.60 ; S/179.40 
1 06 2019;Facial;A-10;Microdermoabrasión;Rosa; S/237.00 ; S/4.74 ; S/232.26 
1 06 2019;Corporal;D-13;Envolvente Desintoxicante;Rosa; S/198.00 ; S/13.86 ; S/184.14 
1 06 2019;Facial;C-19;Tratamiento de Limpieza;Ana; S/220.00 ; S/11.00 ; S/209.00 
1 06 2019;Facial;C-17;Limpieza Profunda;Rafaella; S/218.00 ; S/4.36 ; S/213.64 
1 06 2019;Corporal;C-18;Envolvente Desintoxicante;Camila; S/198.00 ; S/19.80 ; S/178.20 
1 06 2019;Facial;D-16;Hidratante;Camila; S/193.00 ; S/9.65 ; S/183.35 
1 06 2019;Corporal;B-17;Envolvente Desintoxicante;María; S/198.00 ; S/13.86 ; S/184.14 
1 06 2019;Corporal;A-20;Ritual Azul Turquesa;Ana; S/194.00 ; S/19.40 ; S/174.60 
1 06 2019;Facial;A-18;Limpieza Profunda;Camila; S/218.00 ; S/13.08 ; S/204.92 
1 06 2019;Facial;A-12;Exfoliación;María; S/181.00 ; S/1.81 ; S/179.19 
1 06 2019;Facial;C-16;Hidratante;Rosa; S/193.00 ; S/3.86 ; S/189.14 
1 06 2019;Facial;C-10;Limpieza Profunda;Camila; S/218.00 ; S/19.62 ; S/198.38 
1 06 2019;Corporal;C-19;Fango Aromatico;María; S/128.00 ; S/6.40 ; S/121.60 
1 06 2019;Facial;B-15;Limpieza Profunda;Rafaella; S/218.00 ; S/6.54 ; S/211.46 
1 06 2019;Corporal;C-11;Modelaje;Camila; S/199.00 ; S/19.90 ; S/179.10 
1 06 2019;Facial;A-19;Hieloterapia;Rosa; S/195.00 ; S/5.85 ; S/189.15 
1 06 2019;Facial;C-18;Microdermoabrasión;María; S/237.00 ; S/11.85 ; S/225.15 
1 06 2019;Corporal;C-15;Integral Reductivo;María; S/191.00 ;; S/191.00 
1 06 2019;Facial;B-16;Limpieza Profunda;Ana; S/218.00 ; S/4.36 ; S/213.64 
1 06 2019;Corporal;B-17;De Algas Desintoxicantes;Rafaella; S/101.00 ; S/2.02 ; S/98.98 
1 06 2019;Facial;D-19;Linea Colageno y Elastina;Rosa; S/145.00 ; S/2.90 ; S/142.10 
1 06 2019;Corporal;C-19;De Algas Desintoxicantes;Rosa; S/101.00 ;; S/101.00 
1 06 2019;Corporal;A-12;Modelaje;Rosa; S/199.00 ; S/13.93 ; S/185.07 
1 06 2019;Corporal;D-11;Integral Reductivo;María; S/191.00 ; S/3.82 ; S/187.18 
2 06 2019;Corporal;D-15;Ritual Esencial Del Mar;Rosa; S/214.00 ; S/21.40 ; S/192.60 
2 06 2019;Facial;B-15;Hieloterapia;María; S/195.00 ; S/11.70 ; S/183.30 
2 06 2019;Facial;B-20;Vaporizacion;Rosa; S/151.00 ; S/15.10 ; S/135.90 
2 06 2019;Facial;B-10;Limpieza Profunda;Rosa; S/218.00 ; S/4.36 ; S/213.64 
2 06 2019;Corporal;C-19;Ritual Azul Turquesa;Camila; S/194.00 ; S/5.82 ; S/188.18 
2 06 2019;Facial;C-14;Europeo;Camila; S/199.00 ; S/13.93 ; S/185.07 
2 06 2019;Facial;B-11;Antiedad;María; S/228.00 ; S/15.96 ; S/212.04 
2 06 2019;Facial;A-13;Europeo;Camila; S/199.00 ; S/1.99 ; S/197.01 
2 06 2019;Corporal;B-14;Heavenly Body;Camila; S/192.00 ; S/7.68 ; S/184.32 
2 06 2019;Facial;D-10;Europeo;Ana; S/199.00 ; S/7.96 ; S/191.04 
2 06 2019;Corporal;D-20;Fango;Ana; S/111.00 ; S/2.22 ; S/108.78 
